2018-06-13 18:24:19.758 [http-nio-8080-exec-4] INFO  com.twq.controller.ShoppingCartController - starting addProduct2Cart
2018-06-13 18:24:19.758 [http-nio-8080-exec-4] INFO  com.twq.service.impl.ShoppingCartServiceImpl - starting addProduct2Cart in service
2018-06-13 18:24:19.759 [http-nio-8080-exec-4] INFO  com.twq.dao.impl.ShoppingCartDaoImpl - add product in db shopping cart
2018-06-13 18:24:19.759 [http-nio-8080-exec-4] INFO  com.twq.service.impl.ShoppingCartServiceImpl - end addProduct2Cart in service
2018-06-13 18:24:19.759 [http-nio-8080-exec-4] INFO  com.twq.controller.ShoppingCartController - end addProduct2Cart
2018-06-13 18:24:21.373 [http-nio-8080-exec-8] INFO  com.twq.controller.ShoppingCartController - starting addProduct2Cart
2018-06-13 18:24:21.374 [http-nio-8080-exec-8] INFO  com.twq.service.impl.ShoppingCartServiceImpl - starting addProduct2Cart in service
2018-06-13 18:24:21.374 [http-nio-8080-exec-8] INFO  com.twq.dao.impl.ShoppingCartDaoImpl - add product in db shopping cart
2018-06-13 18:24:21.374 [http-nio-8080-exec-8] INFO  com.twq.service.impl.ShoppingCartServiceImpl - end addProduct2Cart in service
2018-06-13 18:24:21.374 [http-nio-8080-exec-8] INFO  com.twq.controller.ShoppingCartController - end addProduct2Cart
2018-06-13 18:24:22.742 [http-nio-8080-exec-2] INFO  com.twq.controller.ShoppingCartController - starting addProduct2Cart
2018-06-13 18:24:22.742 [http-nio-8080-exec-2] INFO  com.twq.service.impl.ShoppingCartServiceImpl - starting addProduct2Cart in service
2018-06-13 18:24:22.742 [http-nio-8080-exec-2] INFO  com.twq.dao.impl.ShoppingCartDaoImpl - add product in db shopping cart
2018-06-13 18:24:22.742 [http-nio-8080-exec-2] INFO  com.twq.service.impl.ShoppingCartServiceImpl - end addProduct2Cart in service
2018-06-13 18:24:22.742 [http-nio-8080-exec-2] INFO  com.twq.controller.ShoppingCartController - end addProduct2Cart
2018-06-13 18:24:24.213 [http-nio-8080-exec-6] INFO  com.twq.controller.ShoppingCartController - starting addProduct2Cart
2018-06-13 18:24:24.213 [http-nio-8080-exec-6] INFO  com.twq.service.impl.ShoppingCartServiceImpl - starting addProduct2Cart in service
2018-06-13 18:24:24.213 [http-nio-8080-exec-6] INFO  com.twq.dao.impl.ShoppingCartDaoImpl - add product in db shopping cart
2018-06-13 18:24:24.213 [http-nio-8080-exec-6] INFO  com.twq.service.impl.ShoppingCartServiceImpl - end addProduct2Cart in service
2018-06-13 18:24:24.214 [http-nio-8080-exec-6] INFO  com.twq.controller.ShoppingCartController - end addProduct2Cart
2018-06-13 18:24:38.334 [http-nio-8080-exec-2] INFO  com.twq.controller.ShoppingCartController - starting addProduct2Cart
2018-06-13 18:24:38.334 [http-nio-8080-exec-2] INFO  com.twq.service.impl.ShoppingCartServiceImpl - starting addProduct2Cart in service
2018-06-13 18:24:38.334 [http-nio-8080-exec-2] INFO  com.twq.dao.impl.ShoppingCartDaoImpl - add product in db shopping cart
2018-06-13 18:24:38.335 [http-nio-8080-exec-2] INFO  com.twq.service.impl.ShoppingCartServiceImpl - end addProduct2Cart in service
2018-06-13 18:24:38.335 [http-nio-8080-exec-2] INFO  com.twq.controller.ShoppingCartController - end addProduct2Cart
2018-06-13 18:24:42.910 [http-nio-8080-exec-6] INFO  com.twq.controller.ShoppingCartController - starting addProduct2Cart
2018-06-13 18:24:42.911 [http-nio-8080-exec-6] INFO  com.twq.service.impl.ShoppingCartServiceImpl - starting addProduct2Cart in service
2018-06-13 18:24:42.911 [http-nio-8080-exec-6] INFO  com.twq.dao.impl.ShoppingCartDaoImpl - add product in db shopping cart
2018-06-13 18:24:42.911 [http-nio-8080-exec-6] INFO  com.twq.service.impl.ShoppingCartServiceImpl - end addProduct2Cart in service
2018-06-13 18:24:42.911 [http-nio-8080-exec-6] INFO  com.twq.controller.ShoppingCartController - end addProduct2Cart
2018-06-13 18:25:46.206 [http-nio-8080-exec-1] INFO  com.twq.controller.ShoppingCartController - starting addProduct2Cart
2018-06-13 18:25:46.206 [http-nio-8080-exec-1] INFO  com.twq.service.impl.ShoppingCartServiceImpl - starting addProduct2Cart in service
2018-06-13 18:25:46.206 [http-nio-8080-exec-1] INFO  com.twq.dao.impl.ShoppingCartDaoImpl - add product in db shopping cart
2018-06-13 18:25:46.206 [http-nio-8080-exec-1] INFO  com.twq.service.impl.ShoppingCartServiceImpl - end addProduct2Cart in service
